"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2024/02/01","00:00","0.081","-","0.561"
"2024/02/01","01:00","-0.087","-","0.412"
"2024/02/01","02:00","-0.261","-","0.219"
"2024/02/01","03:00","-0.391","-","0.083"
"2024/02/01","04:00","-0.438","-","0.022"
"2024/02/01","05:00","-0.384","-","0.027"
"2024/02/01","06:00","-0.235","-","0.191"
"2024/02/01","07:00","-0.018","-","0.397"
"2024/02/01","08:00","0.225","-","0.575"
"2024/02/01","09:00","0.442","-","0.832"
"2024/02/01","10:00","0.586","-","0.896"
"2024/02/01","11:00","0.629","-","1.035"
"2024/02/01","12:00","0.566","-","0.95"
"2024/02/01","13:00","0.408","-","0.767"
"2024/02/01","14:00","0.192","-","0.551"
"2024/02/01","15:00","-0.034","-","0.354"
"2024/02/01","16:00","-0.219","-","0.138"
"2024/02/01","17:00","-0.333","-","0.093"
"2024/02/01","18:00","-0.36","-","0.033"
"2024/02/01","19:00","-0.305","-","0.114"
"2024/02/01","20:00","-0.193","-","0.187"
"2024/02/01","21:00","-0.065","-","0.304"
"2024/02/01","22:00","0.038","-","0.431"
"2024/02/01","23:00","0.09","-","0.452"
