"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2023/01/01","00:00","-0.164","-","0.025"
"2023/01/01","01:00","0.029","-","0.236"
"2023/01/01","02:00","0.15","-","0.321"
"2023/01/01","03:00","0.177","-","0.306"
"2023/01/01","04:00","0.115","-","0.313"
"2023/01/01","05:00","-0.009","-","0.161"
"2023/01/01","06:00","-0.149","-","0.028"
"2023/01/01","07:00","-0.248","-","-0.12"
"2023/01/01","08:00","-0.261","-","-0.126"
"2023/01/01","09:00","-0.163","-","-0.046"
"2023/01/01","10:00","0.039","-","0.159"
"2023/01/01","11:00","0.312","-","0.381"
"2023/01/01","12:00","0.597","-","0.657"
"2023/01/01","13:00","0.825","-","0.896"
"2023/01/01","14:00","0.939","-","0.98"
"2023/01/01","15:00","0.908","-","0.943"
"2023/01/01","16:00","0.73","-","0.758"
"2023/01/01","17:00","0.429","-","0.488"
"2023/01/01","18:00","0.057","-","0.11"
"2023/01/01","19:00","-0.316","-","-0.218"
"2023/01/01","20:00","-0.62","-","-0.512"
"2023/01/01","21:00","-0.804","-","-0.722"
"2023/01/01","22:00","-0.84","-","-0.752"
"2023/01/01","23:00","-0.734","-","-0.7"
"2023/01/02","00:00","-0.524","-","-0.45"
"2023/01/02","01:00","-0.269","-","-0.198"
"2023/01/02","02:00","-0.034","-","0.002"
"2023/01/02","03:00","0.134","-","0.175"
"2023/01/02","04:00","0.208","-","0.226"
"2023/01/02","05:00","0.187","-","0.25"
"2023/01/02","06:00","0.096","-","0.147"
"2023/01/02","07:00","-0.017","-","0.021"
"2023/01/02","08:00","-0.095","-","-0.023"
"2023/01/02","09:00","-0.095","-","-0.033"
"2023/01/02","10:00","0.005","-","0.043"
"2023/01/02","11:00","0.202","-","0.202"
"2023/01/02","12:00","0.458","-","0.531"
"2023/01/02","13:00","0.714","-","0.731"
"2023/01/02","14:00","0.902","-","0.943"
"2023/01/02","15:00","0.97","-","1.075"
"2023/01/02","16:00","0.891","-","1.046"
"2023/01/02","17:00","0.66","-","0.796"
"2023/01/02","18:00","0.31","-","0.44"
"2023/01/02","19:00","-0.099","-","0.069"
"2023/01/02","20:00","-0.492","-","-0.32"
"2023/01/02","21:00","-0.8","-","-0.673"
"2023/01/02","22:00","-0.97","-","-0.807"
"2023/01/02","23:00","-0.977","-","-0.789"
"2023/01/03","00:00","-0.832","-","-0.625"
"2023/01/03","01:00","-0.582","-","-0.364"
"2023/01/03","02:00","-0.291","-","-0.072"
"2023/01/03","03:00","-0.021","-","0.145"
"2023/01/03","04:00","0.176","-","0.311"
"2023/01/03","05:00","0.27","-","0.418"
"2023/01/03","06:00","0.26","-","0.432"
"2023/01/03","07:00","0.18","-","0.313"
"2023/01/03","08:00","0.081","-","0.223"
"2023/01/03","09:00","0.014","-","0.171"
"2023/01/03","10:00","0.024","-","0.103"
"2023/01/03","11:00","0.133","-","0.245"
"2023/01/03","12:00","0.331","-","0.423"
"2023/01/03","13:00","0.574","-","0.688"
"2023/01/03","14:00","0.8","-","0.93"
"2023/01/03","15:00","0.949","-","1.028"
"2023/01/03","16:00","0.97","-","1.081"
"2023/01/03","17:00","0.834","-","0.927"
"2023/01/03","18:00","0.548","-","0.703"
