Date,Time (GMT),Verified (m)
2023/01/01,00:00,0.5692530819434374
2023/01/01,01:00,0.6678752719361858
2023/01/01,02:00,0.7084844089920234
2023/01/01,03:00,0.6947063089195071
2023/01/01,04:00,0.6403190717911532
2023/01/01,05:00,0.5620014503263235
2023/01/01,06:00,0.4742567077592459
2023/01/01,07:00,0.39376359680928213
2023/01/01,08:00,0.33430021754894856
2023/01/01,09:00,0.30674401740391594
2023/01/01,10:00,0.32559825960841193
2023/01/01,11:00,0.40029006526468464
2023/01/01,12:00,0.5148658448150836
2023/01/01,13:00,0.6279912980420597
2023/01/01,14:00,0.7012327773749095
2023/01/01,15:00,0.7179115300942714
2023/01/01,16:00,0.6845540246555476
2023/01/01,17:00,0.6163886874546775
2023/01/01,18:00,0.5264684554024657
2023/01/01,19:00,0.4321972443799856
2023/01/01,20:00,0.35315445975344456
2023/01/01,21:00,0.303118201595359
2023/01/01,22:00,0.293691080493111
2023/01/01,23:00,0.3386511965192169
2023/01/02,00:00,0.4350978970268311
2023/01/02,01:00,0.5569253081943438
2023/01/02,02:00,0.6584481508339378
2023/01/02,03:00,0.707759245830312
2023/01/02,04:00,0.7012327773749095
2023/01/02,05:00,0.6519216823785353
2023/01/02,06:00,0.5757795503988399
2023/01/02,07:00,0.4865844815083395
2023/01/02,08:00,0.40246555474981877
2023/01/02,09:00,0.3386511965192169
2023/01/02,10:00,0.3052936910804932
2023/01/02,11:00,0.3161711385061639
2023/01/02,12:00,0.3821609862219
2023/01/02,13:00,0.49383611312545334
2023/01/02,14:00,0.6134880348078319
2023/01/02,15:00,0.6968817984046412
2023/01/02,16:00,0.7222625090645396
2023/01/02,17:00,0.6939811457577957
2023/01/02,18:00,0.6265409717186368
2023/01/02,19:00,0.5344452501812909
2023/01/02,20:00,0.43654822335025384
2023/01/02,21:00,0.35387962291515596
2023/01/02,22:00,0.30021754894851344
2023/01/02,23:00,0.2864394488759971
2023/01/03,00:00,0.32632342277012333
2023/01/03,01:00,0.4249456127628717
2023/01/03,02:00,0.5547498187092097
2023/01/03,03:00,0.6678752719361858
2023/01/03,04:00,0.7258883248730966
2023/01/03,05:00,0.7215373459028283
2023/01/03,06:00,0.6707759245830314
2023/01/03,07:00,0.5881073241479334
2023/01/03,08:00,0.4902102973168964
2023/01/03,09:00,0.39738941261783906
2023/01/03,10:00,0.32632342277012333
2023/01/03,11:00,0.28716461203770854
2023/01/03,12:00,0.2929659173313996
2023/01/03,13:00,0.3611312545322698
2023/01/03,14:00,0.4836838288614939
2023/01/03,15:00,0.6171138506163888
2023/01/03,16:00,0.7113850616388688
2023/01/03,17:00,0.7403915881073243
2023/01/03,18:00,0.7092095721537347
2023/01/03,19:00,0.6359680928208848
2023/01/03,20:00,0.5351704133430023
2023/01/03,21:00,0.4285714285714286
2023/01/03,22:00,0.3401015228426396
2023/01/03,23:00,0.28281363306744023
2023/01/04,00:00,0.26613488034807836
2023/01/04,01:00,0.31182015953589565
2023/01/04,02:00,0.4249456127628717
2023/01/04,03:00,0.5728788977519944
2023/01/04,04:00,0.6968817984046412
2023/01/04,05:00,0.7563451776649748
2023/01/04,06:00,0.7461928934010154
2023/01/04,07:00,0.6838288614938363
2023/01/04,08:00,0.5881073241479334
2023/01/04,09:00,0.47788252356780286
2023/01/04,10:00,0.3763596809282089
2023/01/04,11:00,0.30021754894851344
2023/01/04,12:00,0.2581580855692531
2023/01/04,13:00,0.2683103698332125
2023/01/04,14:00,0.3517041334300218
2023/01/04,15:00,0.4945612762871647
2023/01/04,16:00,0.6424945612762873
2023/01/04,17:00,0.7396664249456129
2023/01/04,18:00,0.7621464829586658
2023/01/04,19:00,0.7215373459028283
2023/01/04,20:00,0.6352429296591735
2023/01/04,21:00,0.521392313270486
2023/01/04,22:00,0.40536620739666435
2023/01/04,23:00,0.3132704858593184
2023/01/05,00:00,0.2552574329224076
2023/01/05,01:00,0.24583031182015957
2023/01/05,02:00,0.30964467005076146
2023/01/05,03:00,0.44815083393763605
2023/01/05,04:00,0.6127628716461205
2023/01/05,05:00,0.7396664249456129
2023/01/05,06:00,0.7882523567802757
2023/01/05,07:00,0.7614213197969545
