Date,Time (GMT),Verified (m)
2024/02/01,00:00,10.07
2024/02/01,01:00,8.66
2024/02/01,02:00,7
2024/02/01,03:00,5.37
2024/02/01,04:00,4.14
2024/02/01,05:00,3.5
2024/02/01,06:00,3.61
2024/02/01,07:00,4.74
2024/02/01,08:00,6.82
2024/02/01,09:00,9.13
2024/02/01,10:00,10.7
2024/02/01,11:00,11.02
2024/02/01,12:00,10.27
2024/02/01,13:00,8.96
2024/02/01,14:00,7.41
2024/02/01,15:00,5.84
2024/02/01,16:00,4.56
2024/02/01,17:00,3.79
2024/02/01,18:00,3.66
2024/02/01,19:00,4.38
2024/02/01,20:00,6.05
2024/02/01,21:00,8.19
2024/02/01,22:00,9.91
2024/02/01,23:00,10.57
2024/02/02,00:00,10.14
2024/02/02,01:00,9.11
2024/02/02,02:00,7.76
2024/02/02,03:00,6.3
2024/02/02,04:00,5.01
2024/02/02,05:00,4.17
2024/02/02,06:00,3.95
2024/02/02,07:00,4.49
2024/02/02,08:00,5.9
2024/02/02,09:00,7.88
2024/02/02,10:00,9.65
2024/02/02,11:00,10.47
2024/02/02,12:00,10.24
2024/02/02,13:00,9.32
2024/02/02,14:00,8.09
2024/02/02,15:00,6.73
2024/02/02,16:00,5.46
2024/02/02,17:00,4.54
2024/02/02,18:00,4.14
2024/02/02,19:00,4.37
2024/02/02,20:00,5.38
2024/02/02,21:00,7.06
2024/02/02,22:00,8.81
2024/02/02,23:00,9.88
2024/02/03,00:00,9.97
2024/02/03,01:00,9.36
2024/02/03,02:00,8.38
2024/02/03,03:00,7.21
2024/02/03,04:00,6.01
2024/02/03,05:00,5.05
2024/02/03,06:00,4.52
2024/02/03,07:00,4.56
2024/02/03,08:00,5.28
2024/02/03,09:00,6.68
2024/02/03,10:00,8.34
2024/02/03,11:00,9.56
2024/02/03,12:00,9.91
2024/02/03,13:00,9.49
2024/02/03,14:00,8.65
2024/02/03,15:00,7.59
2024/02/03,16:00,6.47
2024/02/03,17:00,5.47
2024/02/03,18:00,4.83
2024/02/03,19:00,4.65
2024/02/03,20:00,5.03
2024/02/03,21:00,6.04
2024/02/03,22:00,7.49
2024/02/03,23:00,8.81
2024/02/04,00:00,9.47
2024/02/04,01:00,9.41
2024/02/04,02:00,8.88
