"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2023/01/01","00:00","-0.385","-","-0.329"
"2023/01/01","01:00","-0.536","-","-0.456"
"2023/01/01","02:00","-0.584","-","-0.491"
"2023/01/01","03:00","-0.506","-","-0.431"
"2023/01/01","04:00","-0.323","-","-0.252"
"2023/01/01","05:00","-0.087","-","0.007"
"2023/01/01","06:00","0.141","-","0.244"
"2023/01/01","07:00","0.319","-","0.437"
"2023/01/01","08:00","0.413","-","0.516"
"2023/01/01","09:00","0.397","-","0.513"
"2023/01/01","10:00","0.29","-","0.366"
"2023/01/01","11:00","0.128","-","0.162"
"2023/01/01","12:00","-0.074","-","-0.043"
"2023/01/01","13:00","-0.282","-","-0.21"
"2023/01/01","14:00","-0.43","-","-0.315"
"2023/01/01","15:00","-0.466","-","-0.362"
"2023/01/01","16:00","-0.386","-","-0.299"
"2023/01/01","17:00","-0.226","-","-0.138"
"2023/01/01","18:00","-0.043","-","0.037"
"2023/01/01","19:00","0.116","-","0.209"
"2023/01/01","20:00","0.215","-","0.329"
"2023/01/01","21:00","0.217","-","0.389"
"2023/01/01","22:00","0.117","-","0.319"
"2023/01/01","23:00","-0.043","-","0.134"
"2023/01/02","00:00","-0.229","-","-0.09"
"2023/01/02","01:00","-0.417","-","-0.296"
"2023/01/02","02:00","-0.552","-","-0.422"
"2023/01/02","03:00","-0.574","-","-0.466"
"2023/01/02","04:00","-0.474","-","-0.327"
"2023/01/02","05:00","-0.281","-","-0.115"
"2023/01/02","06:00","-0.051","-","0.138"
"2023/01/02","07:00","0.168","-","0.356"
"2023/01/02","08:00","0.344","-","0.511"
"2023/01/02","09:00","0.437","-","0.583"
"2023/01/02","10:00","0.416","-","0.565"
"2023/01/02","11:00","0.3","-","0.418"
"2023/01/02","12:00","0.127","-","0.23"
"2023/01/02","13:00","-0.087","-","0.039"
"2023/01/02","14:00","-0.299","-","-0.165"
"2023/01/02","15:00","-0.439","-","-0.31"
"2023/01/02","16:00","-0.463","-","-0.364"
"2023/01/02","17:00","-0.38","-","-0.294"
"2023/01/02","18:00","-0.227","-","-0.138"
"2023/01/02","19:00","-0.055","-","0.046"
"2023/01/02","20:00","0.101","-","0.21"
"2023/01/02","21:00","0.199","-","0.318"
"2023/01/02","22:00","0.193","-","0.312"
"2023/01/02","23:00","0.083","-","0.203"
"2023/01/03","00:00","-0.082","-","0.012"
"2023/01/03","01:00","-0.271","-","-0.186"
"2023/01/03","02:00","-0.452","-","-0.375"
"2023/01/03","03:00","-0.564","-","-0.493"
"2023/01/03","04:00","-0.558","-","-0.462"
"2023/01/03","05:00","-0.437","-","-0.286"
"2023/01/03","06:00","-0.239","-","-0.125"
"2023/01/03","07:00","-0.012","-","0.135"
"2023/01/03","08:00","0.207","-","0.366"
"2023/01/03","09:00","0.382","-","0.516"
"2023/01/03","10:00","0.463","-","0.57"
"2023/01/03","11:00","0.421","-","0.561"
"2023/01/03","12:00","0.288","-","0.431"
"2023/01/03","13:00","0.098","-","0.227"
"2023/01/03","14:00","-0.127","-","-0.001"
"2023/01/03","15:00","-0.334","-","-0.21"
"2023/01/03","16:00","-0.456","-","-0.341"
"2023/01/03","17:00","-0.465","-","-0.359"
"2023/01/03","18:00","-0.375","-","-0.265"
"2023/01/03","19:00","-0.221","-","-0.104"
"2023/01/03","20:00","-0.045","-","0.083"
"2023/01/03","21:00","0.114","-","0.245"
"2023/01/03","22:00","0.204","-","0.333"
"2023/01/03","23:00","0.177","-","0.32"
"2023/01/04","00:00","0.05","-","0.185"
"2023/01/04","01:00","-0.126","-","-0.022"
"2023/01/04","02:00","-0.318","-","-0.214"
