"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2024/02/01","00:00","-0.375","-","-0.056"
"2024/02/01","01:00","-0.212","-","0.091"
"2024/02/01","02:00","-0.025","-","0.248"
"2024/02/01","03:00","0.142","-","0.479"
"2024/02/01","04:00","0.252","-","0.65"
"2024/02/01","05:00","0.281","-","0.707"
"2024/02/01","06:00","0.205","-","0.661"
"2024/02/01","07:00","0.037","-","0.5"
"2024/02/01","08:00","-0.148","-","0.314"
"2024/02/01","09:00","-0.29","-","0.155"
"2024/02/01","10:00","-0.382","-","0.027"
"2024/02/01","11:00","-0.414","-","0.022"
"2024/02/01","12:00","-0.365","-","0.072"
"2024/02/01","13:00","-0.245","-","0.21"
"2024/02/01","14:00","-0.089","-","0.338"
"2024/02/01","15:00","0.062","-","0.485"
"2024/02/01","16:00","0.165","-","0.618"
"2024/02/01","17:00","0.195","-","0.671"
"2024/02/01","18:00","0.134","-","0.61"
"2024/02/01","19:00","-0.019","-","0.445"
"2024/02/01","20:00","-0.207","-","0.309"
"2024/02/01","21:00","-0.357","-","0.127"
"2024/02/01","22:00","-0.45","-","0.032"
"2024/02/01","23:00","-0.488","-","0.01"
"2024/02/02","00:00","-0.45","-","0.028"
"2024/02/02","01:00","-0.329","-","0.147"
"2024/02/02","02:00","-0.154","-","0.275"
"2024/02/02","03:00","0.036","-","0.492"
"2024/02/02","04:00","0.193","-","0.653"
"2024/02/02","05:00","0.281","-","0.731"
"2024/02/02","06:00","0.281","-","0.706"
"2024/02/02","07:00","0.184","-","0.584"
"2024/02/02","08:00","0.019","-","0.412"
"2024/02/02","09:00","-0.145","-","0.23"
"2024/02/02","10:00","-0.271","-","0.083"
"2024/02/02","11:00","-0.357","-","0"
"2024/02/02","12:00","-0.388","-","-0.019"
"2024/02/02","13:00","-0.339","-","0.021"
"2024/02/02","14:00","-0.222","-","0.161"
"2024/02/02","15:00","-0.073","-","0.299"
"2024/02/02","16:00","0.062","-","0.431"
"2024/02/02","17:00","0.14","-","0.475"
"2024/02/02","18:00","0.142","-","0.453"
"2024/02/02","19:00","0.06","-","0.334"
"2024/02/02","20:00","-0.092","-","0.198"
"2024/02/02","21:00","-0.258","-","0.042"
"2024/02/02","22:00","-0.385","-","-0.091"
"2024/02/02","23:00","-0.464","-","-0.188"
"2024/02/03","00:00","-0.489","-","-0.252"
"2024/02/03","01:00","-0.434","-","-0.218"
"2024/02/03","02:00","-0.297","-","-0.091"
"2024/02/03","03:00","-0.108","-","0.118"
"2024/02/03","04:00","0.085","-","0.333"
"2024/02/03","05:00","0.231","-","0.49"
"2024/02/03","06:00","0.3","-","0.595"
"2024/02/03","07:00","0.284","-","0.547"
"2024/02/03","08:00","0.183","-","0.458"
"2024/02/03","09:00","0.029","-","0.347"
"2024/02/03","10:00","-0.125","-","0.194"
"2024/02/03","11:00","-0.251","-","0.038"
"2024/02/03","12:00","-0.346","-","-0.063"
"2024/02/03","13:00","-0.382","-","-0.083"
"2024/02/03","14:00","-0.334","-","0.001"
"2024/02/03","15:00","-0.217","-","0.131"
"2024/02/03","16:00","-0.071","-","0.26"
"2024/02/03","17:00","0.051","-","0.405"
"2024/02/03","18:00","0.11","-","0.482"
"2024/02/03","19:00","0.098","-","0.447"
"2024/02/03","20:00","0.015","-","0.361"
"2024/02/03","21:00","-0.128","-","0.242"
"2024/02/03","22:00","-0.281","-","0.122"
"2024/02/03","23:00","-0.401","-","-0.001"
"2024/02/04","00:00","-0.48","-","-0.099"
"2024/02/04","01:00","-0.501","-","-0.091"
"2024/02/04","02:00","-0.434","-","-0.041"
"2024/02/04","03:00","-0.28","-","0.104"
"2024/02/04","04:00","-0.077","-","0.31"
"2024/02/04","05:00","0.119","-","0.523"
"2024/02/04","06:00","0.258","-","0.698"
"2024/02/04","07:00","0.32","-","0.776"
"2024/02/04","08:00","0.306","-","0.759"
"2024/02/04","09:00","0.21","-","0.665"
"2024/02/04","10:00","0.057","-","0.465"
"2024/02/04","11:00","-0.102","-","0.299"
"2024/02/04","12:00","-0.243","-","0.152"
"2024/02/04","13:00","-0.354","-","0.043"
"2024/02/04","14:00","-0.397","-","0.015"
"2024/02/04","15:00","-0.347","-","0.053"
"2024/02/04","16:00","-0.225","-","0.14"
"2024/02/04","17:00","-0.079","-","0.267"
"2024/02/04","18:00","0.035","-","0.434"
"2024/02/04","19:00","0.089","-","0.474"
"2024/02/04","20:00","0.083","-","0.473"
"2024/02/04","21:00","0.007","-","0.483"
"2024/02/04","22:00","-0.133","-","0.272"
"2024/02/04","23:00","-0.288","-","0.108"
"2024/02/05","00:00","-0.418","-","-0.004"
"2024/02/05","01:00","-0.508","-","-0.089"
"2024/02/05","02:00","-0.53","-","-0.028"
"2024/02/05","03:00","-0.451","-","-0.039"
"2024/02/05","04:00","-0.279","-","0.158"
"2024/02/05","05:00","-0.062","-","0.38"
"2024/02/05","06:00","0.139","-","0.592"
"2024/02/05","07:00","0.283","-","0.781"
"2024/02/05","08:00","0.358","-","0.848"
"2024/02/05","09:00","0.355","-","0.859"
"2024/02/05","10:00","0.257","-","0.742"
"2024/02/05","11:00","0.092","-","0.538"
"2024/02/05","12:00","-0.086","-","0.363"
"2024/02/05","13:00","-0.253","-","0.215"
"2024/02/05","14:00","-0.384","-","0.101"
"2024/02/05","15:00","-0.431","-","0.063"
