"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2023/01/01","00:00","-0.134","-","0.139"
"2023/01/01","01:00","0.024","-","0.314"
"2023/01/01","02:00","0.112","-","0.314"
"2023/01/01","03:00","0.113","-","0.348"
"2023/01/01","04:00","0.037","-","0.273"
"2023/01/01","05:00","-0.084","-","0.147"
"2023/01/01","06:00","-0.205","-","0.038"
"2023/01/01","07:00","-0.277","-","-0.083"
"2023/01/01","08:00","-0.262","-","-0.059"
"2023/01/01","09:00","-0.143","-","0.036"
"2023/01/01","10:00","0.068","-","0.224"
"2023/01/01","11:00","0.334","-","0.51"
"2023/01/01","12:00","0.596","-","0.736"
"2023/01/01","13:00","0.792","-","0.921"
"2023/01/01","14:00","0.873","-","1.03"
"2023/01/01","15:00","0.814","-","0.947"
"2023/01/01","16:00","0.621","-","0.744"
"2023/01/01","17:00","0.326","-","0.465"
"2023/01/01","18:00","-0.019","-","0.123"
"2023/01/01","19:00","-0.351","-","-0.211"
"2023/01/01","20:00","-0.61","-","-0.482"
"2023/01/01","21:00","-0.754","-","-0.622"
"2023/01/01","22:00","-0.763","-","-0.599"
"2023/01/01","23:00","-0.65","-","-0.504"
"2023/01/02","00:00","-0.453","-","-0.354"
"2023/01/02","01:00","-0.226","-","-0.111"
"2023/01/02","02:00","-0.026","-","0.083"
"2023/01/02","03:00","0.105","-","0.196"
"2023/01/02","04:00","0.147","-","0.239"
"2023/01/02","05:00","0.107","-","0.203"
"2023/01/02","06:00","0.017","-","0.107"
"2023/01/02","07:00","-0.078","-","-0.022"
"2023/01/02","08:00","-0.13","-","-0.035"
"2023/01/02","09:00","-0.101","-","0.003"
"2023/01/02","10:00","0.026","-","0.106"
"2023/01/02","11:00","0.235","-","0.298"
"2023/01/02","12:00","0.487","-","0.53"
"2023/01/02","13:00","0.722","-","0.808"
"2023/01/02","14:00","0.879","-","0.934"
"2023/01/02","15:00","0.913","-","0.964"
"2023/01/02","16:00","0.803","-","0.898"
