"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2024/02/01","00:00","-0.016","-","0.294"
"2024/02/01","01:00","-0.171","-","0.148"
"2024/02/01","02:00","-0.314","-","-0.005"
"2024/02/01","03:00","-0.406","-","-0.095"
"2024/02/01","04:00","-0.418","-","-0.102"
"2024/02/01","05:00","-0.34","-","-0.063"
"2024/02/01","06:00","-0.185","-","0.107"
"2024/02/01","07:00","0.016","-","0.308"
"2024/02/01","08:00","0.223","-","0.564"
"2024/02/01","09:00","0.395","-","0.719"
"2024/02/01","10:00","0.498","-","0.855"
"2024/02/01","11:00","0.512","-","0.885"
"2024/02/01","12:00","0.435","-","0.796"
"2024/02/01","13:00","0.286","-","0.667"
"2024/02/01","14:00","0.099","-","0.443"
"2024/02/01","15:00","-0.084","-","0.226"
"2024/02/01","16:00","-0.225","-","0.121"
"2024/02/01","17:00","-0.299","-","0.045"
"2024/02/01","18:00","-0.301","-","0.029"
"2024/02/01","19:00","-0.242","-","0.056"
"2024/02/01","20:00","-0.148","-","0.164"
"2024/02/01","21:00","-0.052","-","0.265"
"2024/02/01","22:00","0.016","-","0.324"
"2024/02/01","23:00","0.037","-","0.332"
"2024/02/02","00:00","0.005","-","0.302"
"2024/02/02","01:00","-0.069","-","0.224"
"2024/02/02","02:00","-0.161","-","0.106"
"2024/02/02","03:00","-0.238","-","0.019"
"2024/02/02","04:00","-0.27","-","-0.035"
"2024/02/02","05:00","-0.238","-","-0.032"
"2024/02/02","06:00","-0.139","-","0.059"
"2024/02/02","07:00","0.014","-","0.227"
"2024/02/02","08:00","0.195","-","0.402"
"2024/02/02","09:00","0.371","-","0.579"
"2024/02/02","10:00","0.505","-","0.733"
"2024/02/02","11:00","0.57","-","0.788"
"2024/02/02","12:00","0.548","-","0.775"
"2024/02/02","13:00","0.441","-","0.676"
"2024/02/02","14:00","0.267","-","0.49"
"2024/02/02","15:00","0.059","-","0.273"
"2024/02/02","16:00","-0.144","-","0.069"
"2024/02/02","17:00","-0.308","-","-0.111"
"2024/02/02","18:00","-0.406","-","-0.193"
"2024/02/02","19:00","-0.432","-","-0.23"
"2024/02/02","20:00","-0.391","-","-0.169"
"2024/02/02","21:00","-0.305","-","-0.087"
"2024/02/02","22:00","-0.203","-","-0.001"
"2024/02/02","23:00","-0.112","-","0.092"
"2024/02/03","00:00","-0.055","-","0.124"
"2024/02/03","01:00","-0.039","-","0.138"
"2024/02/03","02:00","-0.059","-","0.115"
"2024/02/03","03:00","-0.096","-","0.074"
"2024/02/03","04:00","-0.126","-","0.027"
"2024/02/03","05:00","-0.125","-","0.003"
"2024/02/03","06:00","-0.076","-","0.023"
"2024/02/03","07:00","0.024","-","0.133"
"2024/02/03","08:00","0.166","-","0.281"
"2024/02/03","09:00","0.33","-","0.464"
"2024/02/03","10:00","0.484","-","0.616"
"2024/02/03","11:00","0.595","-","0.742"
"2024/02/03","12:00","0.636","-","0.807"
"2024/02/03","13:00","0.589","-","0.752"
"2024/02/03","14:00","0.456","-","0.64"
"2024/02/03","15:00","0.254","-","0.45"
"2024/02/03","16:00","0.014","-","0.226"
"2024/02/03","17:00","-0.224","-","-0.04"
"2024/02/03","18:00","-0.422","-","-0.229"
"2024/02/03","19:00","-0.551","-","-0.34"
"2024/02/03","20:00","-0.595","-","-0.397"
"2024/02/03","21:00","-0.558","-","-0.36"
