"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2023/01/01","00:00","-0.444","-","-0.264"
"2023/01/01","01:00","-0.118","-","0.001"
"2023/01/01","02:00","0.193","-","0.306"
"2023/01/01","03:00","0.401","-","0.526"
"2023/01/01","04:00","0.455","-","0.571"
"2023/01/01","05:00","0.363","-","0.493"
"2023/01/01","06:00","0.167","-","0.257"
"2023/01/01","07:00","-0.089","-","0.044"
"2023/01/01","08:00","-0.318","-","-0.163"
"2023/01/01","09:00","-0.414","-","-0.265"
"2023/01/01","10:00","-0.334","-","-0.194"
"2023/01/01","11:00","-0.099","-","-0.004"
"2023/01/01","12:00","0.251","-","0.288"
"2023/01/01","13:00","0.653","-","0.684"
"2023/01/01","14:00","1.024","-","1.043"
"2023/01/01","15:00","1.274","-","1.298"
"2023/01/01","16:00","1.326","-","1.332"
"2023/01/01","17:00","1.158","-","1.189"
"2023/01/01","18:00","0.804","-","0.836"
"2023/01/01","19:00","0.315","-","0.382"
"2023/01/01","20:00","-0.225","-","-0.121"
"2023/01/01","21:00","-0.685","-","-0.558"
"2023/01/01","22:00","-0.962","-","-0.874"
"2023/01/01","23:00","-1.029","-","-0.966"
"2023/01/02","00:00","-0.901","-","-0.836"
"2023/01/02","01:00","-0.622","-","-0.574"
"2023/01/02","02:00","-0.26","-","-0.242"
"2023/01/02","03:00","0.099","-","0.106"
"2023/01/02","04:00","0.368","-","0.396"
"2023/01/02","05:00","0.487","-","0.56"
"2023/01/02","06:00","0.459","-","0.514"
"2023/01/02","07:00","0.312","-","0.388"
"2023/01/02","08:00","0.09","-","0.194"
"2023/01/02","09:00","-0.116","-","0.035"
"2023/01/02","10:00","-0.202","-","-0.076"
"2023/01/02","11:00","-0.126","-","-0.005"
"2023/01/02","12:00","0.097","-","0.192"
"2023/01/02","13:00","0.426","-","0.508"
"2023/01/02","14:00","0.797","-","0.88"
"2023/01/02","15:00","1.13","-","1.218"
"2023/01/02","16:00","1.337","-","1.438"
"2023/01/02","17:00","1.341","-","1.448"
"2023/01/02","18:00","1.121","-","1.26"
"2023/01/02","19:00","0.716","-","0.866"
"2023/01/02","20:00","0.179","-","0.4"
"2023/01/02","21:00","-0.397","-","-0.106"
"2023/01/02","22:00","-0.873","-","-0.553"
"2023/01/02","23:00","-1.147","-","-0.852"
"2023/01/03","00:00","-1.192","-","-0.887"
"2023/01/03","01:00","-1.028","-","-0.669"
"2023/01/03","02:00","-0.704","-","-0.364"
"2023/01/03","03:00","-0.292","-","0.011"
