"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2024/02/01","00:00","0.619","-","1.105"
"2024/02/01","01:00","0.455","-","0.936"
"2024/02/01","02:00","0.144","-","0.661"
"2024/02/01","03:00","-0.209","-","0.319"
"2024/02/01","04:00","-0.502","-","0.031"
"2024/02/01","05:00","-0.674","-","-0.206"
"2024/02/01","06:00","-0.671","-","-0.188"
"2024/02/01","07:00","-0.472","-","-0.024"
"2024/02/01","08:00","-0.126","-","0.303"
"2024/02/01","09:00","0.278","-","0.698"
"2024/02/01","10:00","0.658","-","1.098"
"2024/02/01","11:00","0.944","-","1.372"
"2024/02/01","12:00","1.077","-","1.505"
"2024/02/01","13:00","1.016","-","1.479"
"2024/02/01","14:00","0.758","-","1.27"
"2024/02/01","15:00","0.381","-","0.919"
"2024/02/01","16:00","-0.005","-","0.544"
"2024/02/01","17:00","-0.33","-","0.231"
"2024/02/01","18:00","-0.536","-","-0.008"
"2024/02/01","19:00","-0.568","-","-0.043"
"2024/02/01","20:00","-0.431","-","0.043"
"2024/02/01","21:00","-0.195","-","0.292"
"2024/02/01","22:00","0.068","-","0.537"
"2024/02/01","23:00","0.294","-","0.79"
"2024/02/02","00:00","0.432","-","0.922"
"2024/02/02","01:00","0.438","-","0.918"
"2024/02/02","02:00","0.294","-","0.797"
"2024/02/02","03:00","0.047","-","0.562"
"2024/02/02","04:00","-0.204","-","0.315"
"2024/02/02","05:00","-0.384","-","0.102"
"2024/02/02","06:00","-0.456","-","0.002"
"2024/02/02","07:00","-0.379","-","0.023"
"2024/02/02","08:00","-0.142","-","0.214"
"2024/02/02","09:00","0.193","-","0.534"
"2024/02/02","10:00","0.545","-","0.859"
"2024/02/02","11:00","0.848","-","1.191"
"2024/02/02","12:00","1.046","-","1.38"
"2024/02/02","13:00","1.094","-","1.446"
"2024/02/02","14:00","0.96","-","1.293"
"2024/02/02","15:00","0.658","-","1.046"
"2024/02/02","16:00","0.274","-","0.694"
"2024/02/02","17:00","-0.101","-","0.324"
"2024/02/02","18:00","-0.414","-","0.009"
"2024/02/02","19:00","-0.61","-","-0.167"
"2024/02/02","20:00","-0.64","-","-0.216"
"2024/02/02","21:00","-0.518","-","-0.111"
"2024/02/02","22:00","-0.309","-","0.074"
"2024/02/02","23:00","-0.074","-","0.311"
"2024/02/03","00:00","0.139","-","0.512"
"2024/02/03","01:00","0.282","-","0.621"
"2024/02/03","02:00","0.315","-","0.66"
"2024/02/03","03:00","0.225","-","0.564"
"2024/02/03","04:00","0.061","-","0.383"
"2024/02/03","05:00","-0.094","-","0.241"
"2024/02/03","06:00","-0.195","-","0.116"
"2024/02/03","07:00","-0.213","-","0.082"
"2024/02/03","08:00","-0.105","-","0.172"
"2024/02/03","09:00","0.128","-","0.365"
"2024/02/03","10:00","0.426","-","0.635"
"2024/02/03","11:00","0.721","-","0.947"
"2024/02/03","12:00","0.963","-","1.212"
"2024/02/03","13:00","1.102","-","1.365"
"2024/02/03","14:00","1.097","-","1.363"
"2024/02/03","15:00","0.924","-","1.18"
"2024/02/03","16:00","0.605","-","0.866"
"2024/02/03","17:00","0.217","-","0.502"
"2024/02/03","18:00","-0.165","-","0.134"
"2024/02/03","19:00","-0.493","-","-0.195"
"2024/02/03","20:00","-0.707","-","-0.404"
"2024/02/03","21:00","-0.757","-","-0.458"
"2024/02/03","22:00","-0.66","-","-0.381"
"2024/02/03","23:00","-0.469","-","-0.208"
"2024/02/04","00:00","-0.233","-","0.024"
"2024/02/04","01:00","0.001","-","0.257"
"2024/02/04","02:00","0.183","-","0.441"
"2024/02/04","03:00","0.273","-","0.504"
"2024/02/04","04:00","0.256","-","0.488"
"2024/02/04","05:00","0.17","-","0.375"
"2024/02/04","06:00","0.075","-","0.291"
"2024/02/04","07:00","0.007","-","0.192"
"2024/02/04","08:00","-0.001","-","0.181"
"2024/02/04","09:00","0.097","-","0.272"
"2024/02/04","10:00","0.3","-","0.434"
"2024/02/04","11:00","0.559","-","0.674"
"2024/02/04","12:00","0.818","-","0.937"
"2024/02/04","13:00","1.03","-","1.17"
"2024/02/04","14:00","1.145","-","1.297"
"2024/02/04","15:00","1.124","-","1.267"
"2024/02/04","16:00","0.939","-","1.105"
"2024/02/04","17:00","0.607","-","0.785"
"2024/02/04","18:00","0.199","-","0.435"
"2024/02/04","19:00","-0.219","-","0.019"
"2024/02/04","20:00","-0.591","-","-0.312"
"2024/02/04","21:00","-0.846","-","-0.526"
"2024/02/04","22:00","-0.928","-","-0.596"
"2024/02/04","23:00","-0.848","-","-0.516"
"2024/02/05","00:00","-0.65","-","-0.321"
"2024/02/05","01:00","-0.381","-","-0.041"
"2024/02/05","02:00","-0.094","-","0.247"
"2024/02/05","03:00","0.158","-","0.51"
"2024/02/05","04:00","0.323","-","0.641"
"2024/02/05","05:00","0.372","-","0.696"
"2024/02/05","06:00","0.33","-","0.663"
"2024/02/05","07:00","0.251","-","0.556"
"2024/02/05","08:00","0.17","-","0.49"
"2024/02/05","09:00","0.131","-","0.431"
"2024/02/05","10:00","0.194","-","0.516"
"2024/02/05","11:00","0.367","-","0.64"
"2024/02/05","12:00","0.607","-","0.889"
"2024/02/05","13:00","0.862","-","1.151"
"2024/02/05","14:00","1.08","-","1.375"
"2024/02/05","15:00","1.208","-","1.483"
"2024/02/05","16:00","1.198","-","1.46"
"2024/02/05","17:00","1.007","-","1.254"
"2024/02/05","18:00","0.65","-","0.891"
"2024/02/05","19:00","0.194","-","0.468"
"2024/02/05","20:00","-0.288","-","-0.003"
"2024/02/05","21:00","-0.73","-","-0.455"
"2024/02/05","22:00","-1.038","-","-0.75"
"2024/02/05","23:00","-1.146","-","-0.861"
"2024/02/06","00:00","-1.058","-","-0.794"
"2024/02/06","01:00","-0.821","-","-0.557"
"2024/02/06","02:00","-0.487","-","-0.233"
"2024/02/06","03:00","-0.117","-","0.111"
"2024/02/06","04:00","0.22","-","0.431"
"2024/02/06","05:00","0.451","-","0.64"
"2024/02/06","06:00","0.534","-","0.736"
"2024/02/06","07:00","0.495","-","0.659"
"2024/02/06","08:00","0.387","-","0.53"
"2024/02/06","09:00","0.251","-","0.381"
"2024/02/06","10:00","0.156","-","0.342"
"2024/02/06","11:00","0.182","-","0.362"
"2024/02/06","12:00","0.344","-","0.523"
"2024/02/06","13:00","0.597","-","0.776"
"2024/02/06","14:00","0.883","-","1.02"
"2024/02/06","15:00","1.143","-","1.297"
"2024/02/06","16:00","1.311","-","1.459"
"2024/02/06","17:00","1.318","-","1.458"
"2024/02/06","18:00","1.109","-","1.26"
"2024/02/06","19:00","0.702","-","0.879"
"2024/02/06","20:00","0.174","-","0.36"
"2024/02/06","21:00","-0.398","-","-0.149"
"2024/02/06","22:00","-0.921","-","-0.663"
"2024/02/06","23:00","-1.273","-","-0.986"
"2024/02/07","00:00","-1.38","-","-1.096"
"2024/02/07","01:00","-1.254","-","-0.941"
"2024/02/07","02:00","-0.945","-","-0.631"
"2024/02/07","03:00","-0.519","-","-0.219"
"2024/02/07","04:00","-0.052","-","0.233"
"2024/02/07","05:00","0.362","-","0.622"
"2024/02/07","06:00","0.63","-","0.896"
"2024/02/07","07:00","0.707","-","0.986"
"2024/02/07","08:00","0.627","-","0.895"
"2024/02/07","09:00","0.446","-","0.698"
"2024/02/07","10:00","0.227","-","0.499"
"2024/02/07","11:00","0.073","-","0.357"
"2024/02/07","12:00","0.081","-","0.41"
"2024/02/07","13:00","0.259","-","0.563"
"2024/02/07","14:00","0.556","-","0.853"
"2024/02/07","15:00","0.906","-","1.191"
"2024/02/07","16:00","1.231","-","1.516"
"2024/02/07","17:00","1.445","-","1.705"
"2024/02/07","18:00","1.456","-","1.694"
"2024/02/07","19:00","1.208","-","1.419"
"2024/02/07","20:00","0.73","-","0.96"
"2024/02/07","21:00","0.108","-","0.353"
"2024/02/07","22:00","-0.562","-","-0.301"
"2024/02/07","23:00","-1.152","-","-0.903"
"2024/02/08","00:00","-1.518","-","-1.296"
"2024/02/08","01:00","-1.59","-","-1.379"
"2024/02/08","02:00","-1.391","-","-1.155"
"2024/02/08","03:00","-0.985","-","-0.786"
"2024/02/08","04:00","-0.452","-","-0.292"
"2024/02/08","05:00","0.103","-","0.221"
"2024/02/08","06:00","0.564","-","0.649"
"2024/02/08","07:00","0.828","-","0.921"
"2024/02/08","08:00","0.857","-","0.966"
"2024/02/08","09:00","0.693","-","0.792"
"2024/02/08","10:00","0.409","-","0.5"
"2024/02/08","11:00","0.102","-","0.217"
"2024/02/08","12:00","-0.094","-","0.037"
"2024/02/08","13:00","-0.079","-","0.034"
"2024/02/08","14:00","0.143","-","0.23"
"2024/02/08","15:00","0.511","-","0.579"
"2024/02/08","16:00","0.942","-","0.992"
"2024/02/08","17:00","1.334","-","1.378"
"2024/02/08","18:00","1.577","-","1.623"
"2024/02/08","19:00","1.571","-","1.564"
"2024/02/08","20:00","1.265","-","1.259"
"2024/02/08","21:00","0.7","-","0.746"
"2024/02/08","22:00","-0.02","-","0.049"
"2024/02/08","23:00","-0.77","-","-0.683"
"2024/02/09","00:00","-1.39","-","-1.326"
"2024/02/09","01:00","-1.728","-","-1.691"
"2024/02/09","02:00","-1.727","-","-1.65"
"2024/02/09","03:00","-1.427","-","-1.335"
"2024/02/09","04:00","-0.908","-","-0.851"
"2024/02/09","05:00","-0.278","-","-0.249"
"2024/02/09","06:00","0.335","-","0.336"
"2024/02/09","07:00","0.802","-","0.792"
"2024/02/09","08:00","1.018","-","1.061"
"2024/02/09","09:00","0.956","-","0.953"
"2024/02/09","10:00","0.677","-","0.688"
"2024/02/09","11:00","0.282","-","0.281"
"2024/02/09","12:00","-0.099","-","-0.036"
"2024/02/09","13:00","-0.312","-","-0.26"
"2024/02/09","14:00","-0.266","-","-0.203"
"2024/02/09","15:00","0.022","-","0.063"
"2024/02/09","16:00","0.473","-","0.479"
"2024/02/09","17:00","0.979","-","0.977"
"2024/02/09","18:00","1.418","-","1.433"
"2024/02/09","19:00","1.667","-","1.668"
"2024/02/09","20:00","1.623","-","1.613"
"2024/02/09","21:00","1.245","-","1.226"
"2024/02/09","22:00","0.593","-","0.608"
"2024/02/09","23:00","-0.203","-","-0.136"
"2024/02/10","00:00","-0.99","-","-0.949"
"2024/02/10","01:00","-1.589","-","-1.624"
"2024/02/10","02:00","-1.852","-","-1.864"
"2024/02/10","03:00","-1.744","-","-1.735"
"2024/02/10","04:00","-1.327","-","-1.303"
"2024/02/10","05:00","-0.705","-","-0.726"
"2024/02/10","06:00","-0.01","-","-0.075"
"2024/02/10","07:00","0.618","-","0.532"
"2024/02/10","08:00","1.045","-","0.991"
"2024/02/10","09:00","1.168","-","1.138"
"2024/02/10","10:00","0.983","-","0.941"
"2024/02/10","11:00","0.58","-","0.54"
"2024/02/10","12:00","0.087","-","0.084"
"2024/02/10","13:00","-0.342","-","-0.315"
"2024/02/10","14:00","-0.546","-","-0.529"
"2024/02/10","15:00","-0.447","-","-0.434"
"2024/02/10","16:00","-0.085","-","-0.088"
"2024/02/10","17:00","0.436","-","0.391"
"2024/02/10","18:00","0.993","-","0.95"
"2024/02/10","19:00","1.45","-","1.441"
"2024/02/10","20:00","1.681","-","1.662"
"2024/02/10","21:00","1.582","-","1.55"
"2024/02/10","22:00","1.13","-","1.1"
"2024/02/10","23:00","0.416","-","0.443"
"2024/02/11","00:00","-0.408","-","-0.352"
"2024/02/11","01:00","-1.174","-","-1.17"
"2024/02/11","02:00","-1.697","-","-1.738"
"2024/02/11","03:00","-1.845","-","-1.884"
"2024/02/11","04:00","-1.611","-","-1.593"
"2024/02/11","05:00","-1.086","-","-1.096"
"2024/02/11","06:00","-0.395","-","-0.436"
"2024/02/11","07:00","0.32","-","0.227"
"2024/02/11","08:00","0.916","-","0.852"
"2024/02/11","09:00","1.255","-","1.252"
"2024/02/11","10:00","1.252","-","1.289"
"2024/02/11","11:00","0.934","-","0.943"
"2024/02/11","12:00","0.421","-","0.46"
"2024/02/11","13:00","-0.143","-","-0.078"
"2024/02/11","14:00","-0.589","-","-0.511"
"2024/02/11","15:00","-0.758","-","-0.7"
"2024/02/11","16:00","-0.598","-","-0.555"
"2024/02/11","17:00","-0.177","-","-0.12"
"2024/02/11","18:00","0.386","-","0.412"
"2024/02/11","19:00","0.958","-","0.984"
"2024/02/11","20:00","1.405","-","1.466"
"2024/02/11","21:00","1.596","-","1.649"
"2024/02/11","22:00","1.437","-","1.47"
"2024/02/11","23:00","0.935","-","0.977"
"2024/02/12","00:00","0.207","-","0.315"
"2024/02/12","01:00","-0.587","-","-0.447"
"2024/02/12","02:00","-1.273","-","-1.195"
"2024/02/12","03:00","-1.673","-","-1.663"
"2024/02/12","04:00","-1.682","-","-1.657"
"2024/02/12","05:00","-1.332","-","-1.334"
"2024/02/12","06:00","-0.734","-","-0.731"
"2024/02/12","07:00","-0.02","-","-0.069"
"2024/02/12","08:00","0.666","-","0.594"
"2024/02/12","09:00","1.182","-","1.143"
"2024/02/12","10:00","1.398","-","1.388"
"2024/02/12","11:00","1.257","-","1.246"
"2024/02/12","12:00","0.822","-","0.848"
"2024/02/12","13:00","0.228","-","0.3"
"2024/02/12","14:00","-0.37","-","-0.288"
"2024/02/12","15:00","-0.8","-","-0.745"
"2024/02/12","16:00","-0.92","-","-0.902"
"2024/02/12","17:00","-0.711","-","-0.715"
"2024/02/12","18:00","-0.261","-","-0.291"
"2024/02/12","19:00","0.307","-","0.252"
"2024/02/12","20:00","0.863","-","0.799"
"2024/02/12","21:00","1.272","-","1.239"
"2024/02/12","22:00","1.411","-","1.396"
"2024/02/12","23:00","1.209","-","1.176"
"2024/02/13","00:00","0.699","-","0.688"
"2024/02/13","01:00","0.013","-","0.048"
"2024/02/13","02:00","-0.692","-","-0.652"
"2024/02/13","03:00","-1.25","-","-1.256"
"2024/02/13","04:00","-1.499","-","-1.55"
"2024/02/13","05:00","-1.377","-","-1.371"
"2024/02/13","06:00","-0.946","-","-0.953"
"2024/02/13","07:00","-0.322","-","-0.354"
"2024/02/13","08:00","0.364","-","0.302"
"2024/02/13","09:00","0.973","-","0.93"
"2024/02/13","10:00","1.371","-","1.39"
"2024/02/13","11:00","1.452","-","1.482"
"2024/02/13","12:00","1.19","-","1.217"
"2024/02/13","13:00","0.671","-","0.712"
"2024/02/13","14:00","0.038","-","0.109"
"2024/02/13","15:00","-0.556","-","-0.489"
"2024/02/13","16:00","-0.946","-","-0.917"
"2024/02/13","17:00","-1.021","-","-1.023"
"2024/02/13","18:00","-0.79","-","-0.795"
"2024/02/13","19:00","-0.347","-","-0.362"
"2024/02/13","20:00","0.193","-","0.157"
"2024/02/13","21:00","0.703","-","0.659"
"2024/02/13","22:00","1.059","-","1.048"
"2024/02/13","23:00","1.155","-","1.175"
"2024/02/14","00:00","0.942","-","0.944"
"2024/02/14","01:00","0.474","-","0.514"
"2024/02/14","02:00","-0.118","-","-0.052"
"2024/02/14","03:00","-0.689","-","-0.609"
"2024/02/14","04:00","-1.091","-","-1.056"
"2024/02/14","05:00","-1.197","-","-1.163"
"2024/02/14","06:00","-0.981","-","-0.906"
"2024/02/14","07:00","-0.517","-","-0.468"
"2024/02/14","08:00","0.082","-","0.104"
"2024/02/14","09:00","0.694","-","0.701"
"2024/02/14","10:00","1.191","-","1.232"
"2024/02/14","11:00","1.461","-","1.551"
"2024/02/14","12:00","1.421","-","1.493"
"2024/02/14","13:00","1.073","-","1.17"
"2024/02/14","14:00","0.515","-","0.647"
"2024/02/14","15:00","-0.113","-","0.067"
"2024/02/14","16:00","-0.671","-","-0.501"
"2024/02/14","17:00","-1.017","-","-0.882"
"2024/02/14","18:00","-1.067","-","-0.936"
"2024/02/14","19:00","-0.845","-","-0.687"
"2024/02/14","20:00","-0.439","-","-0.301"
"2024/02/14","21:00","0.044","-","0.201"
"2024/02/14","22:00","0.491","-","0.645"
"2024/02/14","23:00","0.797","-","0.994"
"2024/02/15","00:00","0.875","-","1.091"
"2024/02/15","01:00","0.691","-","0.877"
"2024/02/15","02:00","0.308","-","0.551"
"2024/02/15","03:00","-0.151","-","0.131"
"2024/02/15","04:00","-0.567","-","-0.283"
"2024/02/15","05:00","-0.823","-","-0.538"
"2024/02/15","06:00","-0.824","-","-0.539"
"2024/02/15","07:00","-0.562","-","-0.285"
"2024/02/15","08:00","-0.116","-","0.139"
"2024/02/15","09:00","0.414","-","0.653"
"2024/02/15","10:00","0.919","-","1.154"
"2024/02/15","11:00","1.296","-","1.53"
"2024/02/15","12:00","1.453","-","1.652"
"2024/02/15","13:00","1.328","-","1.508"
"2024/02/15","14:00","0.939","-","1.127"
"2024/02/15","15:00","0.39","-","0.6"
"2024/02/15","16:00","-0.198","-","0.02"
"2024/02/15","17:00","-0.709","-","-0.506"
"2024/02/15","18:00","-1.024","-","-0.858"
"2024/02/15","19:00","-1.074","-","-0.929"
"2024/02/15","20:00","-0.888","-","-0.773"
"2024/02/15","21:00","-0.544","-","-0.422"
"2024/02/15","22:00","-0.133","-","-0.026"
"2024/02/15","23:00","0.255","-","0.338"
"2024/02/16","00:00","0.532","-","0.615"
"2024/02/16","01:00","0.622","-","0.716"
"2024/02/16","02:00","0.502","-","0.592"
"2024/02/16","03:00","0.236","-","0.342"
"2024/02/16","04:00","-0.076","-","0.033"
"2024/02/16","05:00","-0.353","-","-0.253"
"2024/02/16","06:00","-0.503","-","-0.394"
"2024/02/16","07:00","-0.449","-","-0.352"
"2024/02/16","08:00","-0.193","-","-0.105"
"2024/02/16","09:00","0.193","-","0.26"
"2024/02/16","10:00","0.626","-","0.658"
"2024/02/16","11:00","1.021","-","1.063"
"2024/02/16","12:00","1.296","-","1.323"
"2024/02/16","13:00","1.376","-","1.391"
"2024/02/16","14:00","1.209","-","1.221"
"2024/02/16","15:00","0.827","-","0.854"
"2024/02/16","16:00","0.323","-","0.376"
"2024/02/16","17:00","-0.212","-","-0.105"
"2024/02/16","18:00","-0.688","-","-0.574"
"2024/02/16","19:00","-0.992","-","-0.891"
"2024/02/16","20:00","-1.065","-","-0.945"
"2024/02/16","21:00","-0.935","-","-0.83"
"2024/02/16","22:00","-0.663","-","-0.547"
"2024/02/16","23:00","-0.316","-","-0.23"
"2024/02/17","00:00","0.034","-","0.111"
"2024/02/17","01:00","0.309","-","0.37"
"2024/02/17","02:00","0.439","-","0.517"
"2024/02/17","03:00","0.408","-","0.504"
"2024/02/17","04:00","0.267","-","0.335"
"2024/02/17","05:00","0.079","-","0.149"
"2024/02/17","06:00","-0.102","-","-0.024"
