"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2024/02/01","00:00","0.081","-","0.561"
"2024/02/01","01:00","-0.087","-","0.412"
"2024/02/01","02:00","-0.261","-","0.219"
"2024/02/01","03:00","-0.391","-","0.083"
"2024/02/01","04:00","-0.438","-","0.022"
"2024/02/01","05:00","-0.384","-","0.027"
"2024/02/01","06:00","-0.235","-","0.191"
"2024/02/01","07:00","-0.018","-","0.397"
"2024/02/01","08:00","0.225","-","0.575"
"2024/02/01","09:00","0.442","-","0.832"
"2024/02/01","10:00","0.586","-","0.896"
"2024/02/01","11:00","0.629","-","1.035"
"2024/02/01","12:00","0.566","-","0.95"
"2024/02/01","13:00","0.408","-","0.767"
"2024/02/01","14:00","0.192","-","0.551"
"2024/02/01","15:00","-0.034","-","0.354"
"2024/02/01","16:00","-0.219","-","0.138"
"2024/02/01","17:00","-0.333","-","0.093"
"2024/02/01","18:00","-0.36","-","0.033"
"2024/02/01","19:00","-0.305","-","0.114"
"2024/02/01","20:00","-0.193","-","0.187"
"2024/02/01","21:00","-0.065","-","0.304"
"2024/02/01","22:00","0.038","-","0.431"
"2024/02/01","23:00","0.09","-","0.452"
"2024/02/02","00:00","0.078","-","0.423"
"2024/02/02","01:00","0.006","-","0.343"
"2024/02/02","02:00","-0.1","-","0.167"
"2024/02/02","03:00","-0.204","-","0.09"
"2024/02/02","04:00","-0.265","-","-0.035"
"2024/02/02","05:00","-0.258","-","0.001"
"2024/02/02","06:00","-0.175","-","0.08"
"2024/02/02","07:00","-0.019","-","0.222"
"2024/02/02","08:00","0.183","-","0.394"
"2024/02/02","09:00","0.39","-","0.623"
"2024/02/02","10:00","0.559","-","0.791"
"2024/02/02","11:00","0.655","-","0.864"
"2024/02/02","12:00","0.654","-","0.882"
"2024/02/02","13:00","0.551","-","0.766"
"2024/02/02","14:00","0.362","-","0.602"
"2024/02/02","15:00","0.125","-","0.353"
"2024/02/02","16:00","-0.116","-","0.124"
"2024/02/02","17:00","-0.319","-","-0.079"
"2024/02/02","18:00","-0.451","-","-0.213"
"2024/02/02","19:00","-0.496","-","-0.214"
"2024/02/02","20:00","-0.454","-","-0.202"
"2024/02/02","21:00","-0.35","-","-0.067"
"2024/02/02","22:00","-0.221","-","0.048"
"2024/02/02","23:00","-0.099","-","0.128"
"2024/02/03","00:00","-0.014","-","0.211"
"2024/02/03","01:00","0.018","-","0.203"
"2024/02/03","02:00","-0.001","-","0.175"
"2024/02/03","03:00","-0.049","-","0.128"
"2024/02/03","04:00","-0.096","-","0.026"
"2024/02/03","05:00","-0.116","-","0.031"
"2024/02/03","06:00","-0.088","-","0.002"
"2024/02/03","07:00","0.003","-","0.105"
"2024/02/03","08:00","0.15","-","0.259"
"2024/02/03","09:00","0.331","-","0.448"
"2024/02/03","10:00","0.509","-","0.63"
"2024/02/03","11:00","0.647","-","0.784"
"2024/02/03","12:00","0.712","-","0.855"
"2024/02/03","13:00","0.68","-","0.847"
"2024/02/03","14:00","0.546","-","0.718"
"2024/02/03","15:00","0.33","-","0.479"
"2024/02/03","16:00","0.065","-","0.25"
"2024/02/03","17:00","-0.206","-","0.007"
"2024/02/03","18:00","-0.441","-","-0.168"
"2024/02/03","19:00","-0.6","-","-0.335"
"2024/02/03","20:00","-0.66","-","-0.399"
"2024/02/03","21:00","-0.623","-","-0.397"
"2024/02/03","22:00","-0.51","-","-0.222"
